product_id,name,brand_id,category_id,purchased_count,img,created_at
27,Xiaomi 15 Ultra 16GB/512GB,14,1,72,https://cdn.hoanghamobile.com/Uploads/2025/02/28/xiaomi-15-ultra_638763351156143849.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
28,Xiaomi 15 12GB/256GB,14,1,56,https://cdn.hoanghamobile.com/Uploads/2025/03/02/xiaomi-15.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
29,Samsung Galaxy A06 4GB/128GB,12,1,17,https://cdn.hoanghamobile.com/Uploads/2025/03/21/a06-light-blue.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
30,Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,14,1,54,https://cdn.hoanghamobile.com/Uploads/2025/01/10/redmi-note-14-pro-blule.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
31,Xiaomi Redmi Note 14 6GB/128GB,14,1,0,https://cdn.hoanghamobile.com/Uploads/2025/01/04/redmi-note-14-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
32,OSCAL TIGER 10 (8+8GB/256GB) - Chính hãng,9,1,6,https://cdn.hoanghamobile.com/Uploads/2025/02/19/tiger10-black-20231007111011245.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
33,OSCAL MODERN 8 (8+8GB/256GB) - Chính hãng,9,1,68,https://cdn.hoanghamobile.com/Uploads/2025/02/19/oscal-8-3.jpg;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
34,Realme C65S (8GB/256GB),11,1,68,https://cdn.hoanghamobile.com/Uploads/2025/02/25/realme-c65s-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
35,Samsung Galaxy S24 FE 8GB/128GB,12,1,51,https://cdn.hoanghamobile.com/Uploads/2025/01/06/samsung-galaxy-s24-fe-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
36,HONOR X7c - 8GB/256GB,1,1,89,https://cdn.hoanghamobile.com/Uploads/2024/11/23/honor-x7c-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
37,Honor X5b (4+64GB),1,1,21,https://cdn.hoanghamobile.com/Uploads/2025/01/04/honor-x5b-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
38,Samsung Galaxy A06 5G - 4GB/64GB,12,1,97,https://cdn.hoanghamobile.com/Uploads/2025/03/21/a06-5g-light-green.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
39,HONOR X6b 6GB/128GB,1,1,25,https://cdn.hoanghamobile.com/Uploads/2024/07/19/honor-x6b-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
40,REDMAGIC Nova Gaming Tablet 16GB/512GB - Chính hãng,10,1,62,https://cdn.hoanghamobile.com/Uploads/2025/01/06/redmagic-nova-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
41,Xiaomi Redmi 14C 4GB/128GB,14,1,25,https://cdn.hoanghamobile.com/Uploads/2025/01/06/xiaomi-redmi-14c-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
42,Itel A70 (4+4GB/64GB),3,1,29,https://cdn.hoanghamobile.com/Uploads/2025/01/06/itel-a70-4gb-64gb-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
43,Xiaomi Redmi 12 4GB/128GB,14,1,67,https://cdn.hoanghamobile.com/Uploads/2024/06/04/remi12-a.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
44,Xiaomi Redmi 12 8GB/128GB,14,1,40,https://cdn.hoanghamobile.com/Uploads/2025/01/06/remi12-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
45,Masstel izi 16 4G,4,1,17,https://cdn.hoanghamobile.com/Uploads/2024/09/06/izi-16-black-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
46,iPhone 15 Pro Max (512GB) - Chính hãng VN/A,15,1,24,https://cdn.hoanghamobile.com/Uploads/2025/01/23/15-pro-max-512-thumb.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
47,iPhone 15 Pro Max (1TB) - Chính hãng VN/A,15,1,1,https://cdn.hoanghamobile.com/Uploads/2023/09/13/iphone-15-pro-max-natural-titanium-pure-back-iphone-15-pro-max-natural-titanium-pure-front-2up-screen-usen-1.png;trim.threshold=80;trim.percentpadding=0.5;width=180;height=180;mode=pad;,2025-04-05 23:32:18
